time	mode	theta	u	uh	h
0	0	0	0	0	0
0	0	2.7320197832243265	0	0	0
0	0	2.7320197832243265	0	0	0
0	0	2.7320197832243265	0	0	0
0	0	2.7320197832243265	0	0	0
0	0	2.7304858024364416	0	0	0
0	0	2.7304858024364416	0	0	0
0	0	2.7289518216485558	0	0	0
0	0	2.7289518216485558	0	0	0
0	0	2.72741784086067	0	0	0
0	0	2.72741784086067	0	0	0
0	0	2.72741784086067	0	0	0
0	0	2.72741784086067	0	0	0
0	0	2.725883860072784	0	0	0
0	0	2.725883860072784	0	0	0
0	0	2.725883860072784	0	0	0
0	0	2.725883860072784	0	0	0
0	0	2.7212819177091276	0	0	0
0	0	2.7212819177091276	0	0	0
0	0	2.6353789935875316	0	0	0
0	0	2.6353789935875316	0	0	0
0	0	2.5862916083751912	0	0	0
0	0	2.5862916083751912	0	0	0
0	0	2.6016314162540475	0	0	0
0	0	2.6016314162540475	0	0	0
0	0	2.6031653970419333	0	0	0
0	0	2.6031653970419333	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
0	0	2.604699377829819	0	0	0
