time	mode	theta	u	uh	u+uh	h
1.07E-05	0	2.6031653970419333	0	0	0	0
1.07E-05	0	2.6031653970419333	0	0	0	0
1.07E-05	0	2.604699377829819	0	0	0	0
0.1223723	0	2.604699377829819	0	0	0	0
0.1223723	0	2.6031653970419333	0	0	0	0
0.2459974	0	2.6031653970419333	0	0	0	0
0.2459974	0	2.6031653970419333	0	0	0	0
0.3686668	0	2.6031653970419333	0	0	0	0
0.3686668	0	2.6031653970419333	0	0	0	0
0.4933459	0	2.6031653970419333	0	0	0	0
0.4933459	0	2.604699377829819	0	0	0	0
0.61506	0	2.604699377829819	0	0	0	0
0.61506	0	2.6031653970419333	0	0	0	0
0.7386472	0	2.6031653970419333	0	0	0	0
0.7386472	0	2.6031653970419333	0	0	0	0
0.8624186	0	2.6031653970419333	0	0	0	0
0.8624186	0	2.6031653970419333	0	0	0	0
0.9851194	0	2.6031653970419333	0	0	0	0
0.9851194	0	2.604699377829819	0	0	0	0
1.1087677	0	2.604699377829819	0	0	0	0
1.1087677	0	2.6031653970419333	0	0	0	0
1.2284002	0	2.6031653970419333	0	0	0	0
1.2284002	0	2.604699377829819	0	0	0	0
1.3500938	0	2.604699377829819	0	0	0	0
1.3500938	0	2.604699377829819	0	0	0	0
1.4697852	0	2.604699377829819	0	0	0	0
1.4697852	0	2.604699377829819	0	0	0	0
1.589392	0	2.604699377829819	0	0	0	0
1.589392	0	2.6031653970419333	0	0	0	0
1.7130968	0	2.6031653970419333	0	0	0	0
1.7130968	0	2.6031653970419333	0	0	0	0
1.8347723	0	2.6031653970419333	0	0	0	0
1.8347723	0	2.604699377829819	0	0	0	0
1.9586409	0	2.604699377829819	0	0	0	0
1.9586409	0	2.6031653970419333	0	0	0	0
2.0801328	0	2.6031653970419333	0	0	0	0
2.0801328	0	2.6031653970419333	0	0	0	0
2.20375	0	2.6031653970419333	0	0	0	0
2.20375	0	2.604699377829819	0	0	0	0
2.325497	0	2.604699377829819	0	0	0	0
2.325497	0	2.6031653970419333	0	0	0	0
2.4470703	0	2.6031653970419333	0	0	0	0
2.4470703	0	2.6031653970419333	0	0	0	0
2.5667927	0	2.6031653970419333	0	0	0	0
2.5667927	0	2.604699377829819	0	0	0	0
2.6904821	0	2.604699377829819	0	0	0	0
2.6904821	0	2.6031653970419333	0	0	0	0
2.812238	0	2.6031653970419333	0	0	0	0
2.812238	0	2.604699377829819	0	0	0	0
2.9358011	0	2.604699377829819	0	0	0	0
2.9358011	0	2.6031653970419333	0	0	0	0
3.0595589	0	2.6031653970419333	0	0	0	0
3.0595589	0	2.604699377829819	0	0	0	0
3.1821564	0	2.604699377829819	0	0	0	0
3.1821564	0	2.604699377829819	0	0	0	0
