time	mode	theta	u	uh	u+uh	h
4.5E-06	0	2.604699377829819	0	0	0	0
4.5E-06	0	2.604699377829819	0	0	0	0
4.5E-06	0	2.604699377829819	0	0	0	0
0.1357114	0	2.604699377829819	0	0	0	0
0.1357114	0	2.604699377829819	0	0	0	0
0.2600239	0	2.604699377829819	0	0	0	0
0.2600239	0	2.604699377829819	0	0	0	0
0.3997507	0	2.604699377829819	0	0	0	0
0.3997507	0	2.6031653970419333	0	0	0	0
0.5257947	0	2.6031653970419333	0	0	0	0
0.5257947	0	2.604699377829819	0	0	0	0
0.6504328	0	2.604699377829819	0	0	0	0
0.6504328	0	2.604699377829819	0	0	0	0
0.7736933	0	2.604699377829819	0	0	0	0
0.7736933	0	2.604699377829819	0	0	0	0
0.8977595	0	2.604699377829819	0	0	0	0
0.8977595	0	2.604699377829819	0	0	0	0
1.0208023	0	2.604699377829819	0	0	0	0
1.0208023	0	2.604699377829819	0	0	0	0
1.1471761	0	2.604699377829819	0	0	0	0
1.1471761	0	2.604699377829819	0	0	0	0
1.2690376	0	2.604699377829819	0	0	0	0
1.2690376	0	2.604699377829819	0	0	0	0
1.393687	0	2.604699377829819	0	0	0	0
1.393687	0	2.604699377829819	0	0	0	0
1.5184267	0	2.604699377829819	0	0	0	0
1.5184267	0	2.604699377829819	0	0	0	0
1.6428417	0	2.604699377829819	0	0	0	0
1.6428417	0	2.604699377829819	0	0	0	0
1.7659936	0	2.604699377829819	0	0	0	0
1.7659936	0	2.604699377829819	0	0	0	0
1.8899639	0	2.604699377829819	0	0	0	0
1.8899639	0	2.604699377829819	0	0	0	0
2.0126672	0	2.604699377829819	0	0	0	0
2.0126672	0	2.604699377829819	0	0	0	0
2.1347291	0	2.604699377829819	0	0	0	0
2.1347291	0	2.604699377829819	0	0	0	0
2.2598536	0	2.604699377829819	0	0	0	0
2.2598536	0	2.604699377829819	0	0	0	0
2.3836627	0	2.604699377829819	0	0	0	0
2.3836627	0	2.6031653970419333	0	0	0	0
2.50695	0	2.6031653970419333	0	0	0	0
2.50695	0	2.604699377829819	0	0	0	0
2.6314221	0	2.604699377829819	0	0	0	0
2.6314221	0	2.604699377829819	0	0	0	0
2.7537471	0	2.604699377829819	0	0	0	0
2.7537471	0	2.604699377829819	0	0	0	0
2.875856	0	2.604699377829819	0	0	0	0
2.875856	0	2.604699377829819	0	0	0	0
2.9991408	0	2.604699377829819	0	0	0	0
2.9991408	0	2.604699377829819	0	0	0	0
3.1242429	0	2.604699377829819	0	0	0	0
3.1242429	0	2.604699377829819	0	0	0	0
3.2489303	0	2.604699377829819	0	0	0	0
3.2489303	0	2.604699377829819	0	0	0	0
3.3888576	0	2.604699377829819	0	0	0	0
3.3888576	0	2.604699377829819	0	0	0	0
3.5117797	0	2.604699377829819	0	0	0	0
3.5117797	0	2.604699377829819	0	0	0	0
3.6342623	0	2.604699377829819	0	0	0	0
3.6342623	0	2.604699377829819	0	0	0	0
3.7563081	0	2.604699377829819	0	0	0	0
3.7563081	0	2.604699377829819	0	0	0	0
3.8795015	0	2.604699377829819	0	0	0	0
3.8795015	0	2.604699377829819	0	0	0	0
4.0037997	0	2.604699377829819	0	0	0	0
4.0037997	0	2.604699377829819	0	0	0	0
4.1268149	0	2.604699377829819	0	0	0	0
4.1268149	0	2.604699377829819	0	0	0	0
4.2505633	0	2.604699377829819	0	0	0	0
4.2505633	0	2.604699377829819	0	0	0	0
4.3727095	0	2.604699377829819	0	0	0	0
4.3727095	0	2.604699377829819	0	0	0	0
4.4960154	0	2.604699377829819	0	0	0	0
4.4960154	0	2.604699377829819	0	0	0	0
4.6182841	0	2.604699377829819	0	0	0	0
4.6182841	0	2.604699377829819	0	0	0	0
4.7421474	0	2.604699377829819	0	0	0	0
4.7421474	0	2.604699377829819	0	0	0	0
4.866742	0	2.604699377829819	0	0	0	0
4.866742	0	2.604699377829819	0	0	0	0
4.866742	0	2.604699377829819	0	0	0	0
5.0089752	1	2.604699377829819	0	-1	-1	0.29442887719144284
5.0089752	1	2.598563454678276	0	-1	-1	0.29442887719144284
5.1320904	1	2.598563454678276	0	-1	-1	0.30855913926503087
5.1320904	1	2.4727770300716534	0	-1	-1	0.30855913926503087
5.2551004	1	2.4727770300716534	0	-1	-1	0.5816354713233436
5.2551004	1	2.3224469128588607	0	-1	-1	0.5816354713233436
5.3792104	1	2.3224469128588607	0	-1	-1	0.8664863580286378
5.3792104	1	2.2027964114037806	0	-1	-1	0.8664863580286378
5.5034824	1	2.2027964114037806	0	-1	-1	1.0609010943056802
5.5034824	1	2.0739420252213865	0	-1	-1	1.0609010943056802
5.6268546	1	2.0739420252213865	0	-1	-1	1.2382498655364897
5.6268546	1	1.9450876390389933	0	-1	-1	1.2382498655364897
5.7484512	1	1.9450876390389933	0	-1	-1	1.3823917310904155
5.7484512	1	1.817767233644485	0	-1	-1	1.3823917310904155
5.8719625	1	1.817767233644485	0	-1	-1	1.4922013437389896
5.8719625	1	1.6919808090378625	0	-1	-1	1.4922013437389896
5.9941807	1	1.6919808090378625	0	-1	-1	1.5688505458168969
5.9941807	1	1.56619438443124	0	-1	-1	1.5688505458168969
6.1197679	1	1.56619438443124	0	-1	-1	1.613855298664169
6.1197679	1	1.4388739790367318	0	-1	-1	1.613855298664169
